t,phase,n,private,note
1789771648.5,A,0,1569288192,after the first load of Level 0-1
1789771668.2,A,10,1632100352,
1789771687.7,A,20,1641758720,
1789771707.8,A,30,1652129792,
1789771727.9,A,40,1659179008,
1789771748.3,A,50,1668780032,
1789771768.5,A,60,1675091968,
1789771769.0,B,0,1674928128,before respawns
1789771789.2,B,10,1684897792,
1789771810.0,B,20,1685000192,
1789771830.5,B,30,1695522816,
1789771850.8,B,40,1713737728,
1789771871.0,B,50,1722724352,
1789771890.8,B,60,1735979008,
1789771890.8,C,0,1735979008,before 20k steps
1789771917.4,C,4000,1705533440,
1789771944.1,C,8000,1705533440,
1789771970.0,C,12000,1705566208,
1789771996.7,C,16000,1705537536,
1789772023.1,C,20000,1705537536,
1789772023.1,D,0,1705537536,before alternating
1789772047.4,D,10,1854623744,
1789772071.9,D,20,1887760384,
1789772096.9,D,30,1894076416,
1789772122.3,D,40,1902321664,
